transit_timestamp,station_complex_id,station_complex,borough,Georeference,ridership,transfers,weekday
2023-02-17,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),14276,195,Friday
2023-02-17,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),3418,39,Friday
2023-02-17,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),16912,658,Friday
2023-02-17,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),8760,38,Friday
2023-02-18,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),10122,150,Saturday
2023-02-18,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),1867,24,Saturday
2023-02-18,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),12095,440,Saturday
2023-02-18,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),5922,30,Saturday
2023-02-19,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),7820,117,Sunday
2023-02-19,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),1450,19,Sunday
2023-02-19,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),9404,352,Sunday
2023-02-19,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),4642,30,Sunday
2023-02-20,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),9472,140,Monday
2023-02-20,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),1820,36,Monday
2023-02-20,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),11274,512,Monday
2023-02-20,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),5710,37,Monday
2023-02-21,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),14164,231,Tuesday
2023-02-21,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),2921,41,Tuesday
2023-02-21,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),15688,727,Tuesday
2023-02-21,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),8461,37,Tuesday
2023-02-22,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),14704,217,Wednesday
2023-02-22,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),3107,50,Wednesday
2023-02-22,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),16730,746,Wednesday
2023-02-22,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),8748,32,Wednesday
