station_complex_id,station_complex,borough,Year,ridership,net_exits
R525,"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",Q,2019,16498307,13397097
R525,"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",Q,2020,7383161,6546283
R525,"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",Q,2021,8395931,8604233
R525,"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",Q,2022,8850732,10541991
R526,82 St-Jackson Hts (7),Q,2018,4704485,5526602
R526,82 St-Jackson Hts (7),Q,2019,4841694,5701440
R526,82 St-Jackson Hts (7),Q,2020,2257773,2991799
R526,82 St-Jackson Hts (7),Q,2021,2870752,4190761
R526,82 St-Jackson Hts (7),Q,2022,2897985,5296005
R527,90 St-Elmhurst Av (7),Q,2018,5234967,2459557
R527,90 St-Elmhurst Av (7),Q,2019,5254540,2470506
R527,90 St-Elmhurst Av (7),Q,2020,2601560,1467833
R527,90 St-Elmhurst Av (7),Q,2021,2881876,1871535
R527,90 St-Elmhurst Av (7),Q,2022,2527136,1957806
R528,Junction Blvd (7),Q,2018,6753181,5662772
R528,Junction Blvd (7),Q,2019,6739677,5761882
R528,Junction Blvd (7),Q,2020,3536188,3620125
R528,Junction Blvd (7),Q,2021,4249950,4634996
R528,Junction Blvd (7),Q,2022,4326803,5537859
R529,103 St-Corona Plaza (7),Q,2018,6201565,4569324
R529,103 St-Corona Plaza (7),Q,2019,6223391,4684551
R529,103 St-Corona Plaza (7),Q,2020,3242153,2929471
R529,103 St-Corona Plaza (7),Q,2021,3745495,3919296
R529,103 St-Corona Plaza (7),Q,2022,3795814,5062611
R530,111 St (7),Q,2018,3583022,2139187
R530,111 St (7),Q,2019,3822206,2419451
R530,111 St (7),Q,2020,2106628,1327604
R530,111 St (7),Q,2021,2260873,1784184
R530,111 St (7),Q,2022,2182542,2185485
R532,Mets-Willets Point (7),Q,2018,1836834,1648289
R532,Mets-Willets Point (7),Q,2019,2120496,1991392
R532,Mets-Willets Point (7),Q,2020,369399,429057
R532,Mets-Willets Point (7),Q,2021,861066,1313761
R532,Mets-Willets Point (7),Q,2022,914415,1710255
R533,Flushing-Main St (7),Q,2018,17586871,14543797
R533,Flushing-Main St (7),Q,2019,17226675,15074963
R533,Flushing-Main St (7),Q,2020,7005038,6882862
R533,Flushing-Main St (7),Q,2021,8576186,9645471
R533,Flushing-Main St (7),Q,2022,9241437,12135723
